h3_05,year,orig_time_granularity_count/orig_time_granularity_avg
852aad43fffffff,2018,0.00409117475160724722
852aac7bfffffff,2016,0.01099890010998900110
852aac7bfffffff,2017,0.03614807178066303682
852aac7bfffffff,2018,0.00287675711016672115
852aac77fffffff,2016,0.15308943446196576674
852aac77fffffff,2017,0.24931287075432080449
852aac77fffffff,2018,0.00783974122231702813
852aac73fffffff,2016,0.01477492858784515875
852aac73fffffff,2017,0.03260310934087112938
852aac73fffffff,2018,0.00196283695367704789
852aac6ffffffff,2016,0.12990868229616770718
852aac6ffffffff,2017,0.27043267827225437289
852aac6ffffffff,2018,0.01207340531468992870
852aac6bfffffff,2016,0.01219894740510961626
852aac6bfffffff,2017,0.02718684156868075851
852aac6bfffffff,2018,0.00222315962286092141
852aac67fffffff,2016,0.07060386336339330500
852aac67fffffff,2017,0.17542655959117706641
852aac67fffffff,2018,0.01083475725603125859
852aac63fffffff,2016,0.04220934098498099134
852aac63fffffff,2017,0.10694287765357399241
852aac63fffffff,2018,0.00350025117543157032
852aac3bfffffff,2016,0.07032586122648424139
852aac3bfffffff,2017,0.13611573103069409546
852aac3bfffffff,2018,0.00633377215113036682
852aac33fffffff,2016,0.13875868300672050210
852aac33fffffff,2017,0.36251928587172139182
852aac33fffffff,2018,0.02574244340815979858
852aac2ffffffff,2016,0.01304324197025416206
852aac2ffffffff,2017,0.04438338793194547184
852aac2ffffffff,2018,0.00481505047204691235
852aac2bfffffff,2016,0.00085528566541224769
852aac2bfffffff,2017,0.01028453890983887556
852aac27fffffff,2016,0.00891981090000891981
852aac27fffffff,2017,0.03140813121619263654
852aac27fffffff,2018,0.00201878346353023787
852aac23fffffff,2016,0.06052526015243398853
852aac23fffffff,2017,0.13118319374392670399
852aac23fffffff,2018,0.01186212029585523561
852aac0ffffffff,2016,0.01103720128110372013
852aac0ffffffff,2017,0.07498490155815919797
852aac0ffffffff,2018,0.00568112251144795161
852aac07fffffff,2016,0.01503117481178692469
852aac07fffffff,2017,0.06830072198388615674
852aac07fffffff,2018,0.01000555864369093941
852aabd7fffffff,2017,0.02305274187914774712
852aabd7fffffff,2018,0.00588655012486621477
852aabd3fffffff,2017,0.05857752908260933589
852aabd3fffffff,2018,0.00745804847731510255
852aabc3fffffff,2017,10.1406250000000000
852aabc3fffffff,2018,0.78461538461538461538
852aabb3fffffff,2017,0.00234604105571847507
852aabb3fffffff,2018,0.00445859872611464968
852aab9bfffffff,2017,0.00904937099454070733
852aab9bfffffff,2018,0.00375031877709605316
852aab97fffffff,2017,0.02726771942710246023
852aab97fffffff,2018,0.00475085745532705110
852aab93fffffff,2017,0.00277740012041874648
852aab93fffffff,2018,0.00180941492270219218
852aab8bfffffff,2017,0.03373830958832269906
852aab8bfffffff,2018,0.00276958813544179398
852aab83fffffff,2017,0.00226683937823834197
852aab83fffffff,2018,0.00065616797900262467
852aaa9bfffffff,2016,0.04219259048263338734
852aaa9bfffffff,2017,0.10387024588791880677
852aaa9bfffffff,2018,0.00640244715758023067
852aaa97fffffff,2016,0.00702394683836314494
852aaa97fffffff,2017,0.01910609149847655266
852aaa97fffffff,2018,0.00028003687152141699
852aaa93fffffff,2016,0.02795809499325149431
852aaa93fffffff,2017,0.08169391294969847846
852aaa93fffffff,2018,0.00246742090545208634
852aa9dbfffffff,2016,0.00177806956355230944
852aa9dbfffffff,2017,0.05225682535327205378
852aa9dbfffffff,2018,0.00720597541653771358
852aa9d7fffffff,2017,0.01765967287558339991
852aa9d7fffffff,2018,0.02127165678350602486
852aa9d3fffffff,2016,0.00166861338227932588
852aa9d3fffffff,2017,0.00652395514780835882
852aa9d3fffffff,2018,0.00315469852912181080
852aa9cbfffffff,2017,0.00323241030061415796
852aa9cbfffffff,2018,0.00134363453140745717
852aa9c7fffffff,2017,0.00073831009023789992
852aa9c7fffffff,2018,0.00074608306391444914
852aa9c3fffffff,2017,0.01173206765158098803
852aa9c3fffffff,2018,0.01493769973787209595
852aa9bbfffffff,2017,0.00612859388739374883
852aa9bbfffffff,2018,0.00506518088027511930
852aa9abfffffff,2017,0.00759960082904736317
852aa9abfffffff,2018,0.01281679942070963070
852aa99bfffffff,2017,0.01026423834087798716
852aa99bfffffff,2018,0.01401199511703200467
852aa997fffffff,2017,0.02555794740773810839
852aa997fffffff,2018,0.01286146454310881751
852aa98ffffffff,2017,0.00918273645546372819
852aa98ffffffff,2018,0.00622083981337480560
852aa98bfffffff,2016,0.00016786477192260725
852aa98bfffffff,2017,0.05922244917227197469
852aa98bfffffff,2018,0.05185227767329944403
852aa987fffffff,2017,0.03464259575506221030
852aa987fffffff,2018,0.01009023789991796555
852aa983fffffff,2017,0.01459712422104216678
852aa983fffffff,2018,0.01119728550654386815
852aa95bfffffff,2017,0.01375709118880498214
852aa95bfffffff,2018,0.00334046759114757510
852aa953fffffff,2017,0.00278862242052426102
852aa94ffffffff,2017,0.00094173042966450853
852aa94ffffffff,2018,0.00191387559808612440
852aa94bfffffff,2017,0.00514819888305158736
852aa94bfffffff,2018,0.00174667136531478389
852aa91bfffffff,2017,0.00179759122775480856
852aa91bfffffff,2018,0.00090122566690699351
852aa917fffffff,2017,0.02641431256196634950
852aa917fffffff,2018,0.03121640988892869939
852aa913fffffff,2017,0.01721401395793945335
852aa913fffffff,2018,0.03660627127925525583
852aa90ffffffff,2017,0.00206779998011730788
852aa90ffffffff,2018,0.00106855170146309387
