h3_d,pop_dens,geometry
892a1074467ffff,3046.0,"POLYGON ((-73.9737267649817 40.60672952184192, -73.97582400293257 40.60579315791776, -73.9757555830808 40.60403567441566, -73.97359008467645 40.60321455270522, -73.97149292093358 40.6041508470729, -73.97156118138662 40.605908332704686, -73.9737267649817 40.60672952184192))"
892a100c2dbffff,502.0,"POLYGON ((-73.91678088131727 40.737668470048874, -73.91888501327861 40.73673172662361, -73.91881853980001 40.73497135137465, -73.9166480946551 40.73414771759921, -73.91454403759823 40.735084391421445, -73.91461035078136 40.736844768619356, -73.91678088131727 40.737668470048874))"
892a1004523ffff,449.0,"POLYGON ((-73.64046120335234 40.72614794704063, -73.64256983211892 40.725216458301155, -73.64251374410344 40.72345639284873, -73.64034918755608 40.72262781504218, -73.63824063501832 40.723559234608516, -73.63829656279877 40.725319301151735, -73.64046120335234 40.72614794704063))"
892a1005d73ffff,488.0,"POLYGON ((-73.70778072833521 40.69280700892939, -73.70988664687816 40.69187462910006, -73.70982807432232 40.690115283323884, -73.7076637432281 40.68928831607274, -73.70555790047551 40.69022062665946, -73.70561631302641 40.69197997373713, -73.70778072833521 40.69280700892939))"
892a1031487ffff,151.0,"POLYGON ((-73.61439862217563 40.64490813419955, -73.61650407607964 40.64397800568849, -73.61644906141217 40.642219745247, -73.61428875252295 40.64139161229973, -73.61218337471202 40.64232167175828, -73.61223822969689 40.64407993321383, -73.61439862217563 40.64490813419955))"
892a101ae57ffff,11.0,"POLYGON ((-73.83818921976085 40.991210741501874, -73.84030619625531 40.9902727190793, -73.8402423280673 40.98850678861828, -73.83806164542914 40.987678878881766, -73.8359447450457 40.98861683156677, -73.83600845118899 40.990382763723034, -73.83818921976085 40.991210741501874))"
892a10044b3ffff,229.0,"POLYGON ((-73.64557761076496 40.75245095600264, -73.64768732876547 40.75151908899764, -73.64763101717945 40.74975844145152, -73.64546514800703 40.74892965980217, -73.64335550629559 40.74986145760005, -73.64341165746717 40.75162210625157, -73.64557761076496 40.75245095600264))"
892a100f167ffff,3101.0,"POLYGON ((-73.88968144028028 40.756886543646544, -73.89178692857558 40.755950093494036, -73.89172144546542 40.754189297822045, -73.88955063448886 40.75336495043569, -73.88744522129343 40.7543013310066, -73.88751054397429 40.756062128542645, -73.88968144028028 40.756886543646544))"
892a107548bffff,77.0,"POLYGON ((-74.03894362241931 40.636625368947435, -74.04104100018877 40.63568747288411, -74.0409700940633 40.633929321049585, -74.03880196976174 40.633109062944506, -74.03670466597298 40.634046889324296, -74.0367754125046 40.63580504348989, -74.03894362241931 40.636625368947435))"
892a1074693ffff,3449.0,"POLYGON ((-73.98713505872465 40.62220252193448, -73.98923274186353 40.62126574054693, -73.98916379741065 40.61950791248122, -73.98699732932062 40.61868686362946, -73.98489972037257 40.619623575425, -73.98496850532327 40.62138140566152, -73.98713505872465 40.62220252193448))"
