h3_d,traffic,geometry
8419433ffffffff,7758.0,"POLYGON ((-0.0975673632187002 52.576424923539044, -0.432639780981291 52.51952948273036, -0.492449420292738 52.30184375904422, -0.2191374344592494 52.1416808182628, 0.1132952652774396 52.1986635433904, 0.1750419713268154 52.41572004060963, -0.0975673632187002 52.576424923539044))"
84195c3ffffffff,11412.0,"POLYGON ((-1.719768577693418 52.50001226681744, -2.0570650886113504 52.43797191215002, -2.111208324596382 52.21788122281217, -1.8301115887419024 52.06042870859474, -1.495417507223357 52.12250064517041, -1.439230951937114 52.3419913272584, -1.719768577693418 52.50001226681744))"
8419519ffffffff,10240.5,"POLYGON ((-2.652383998519509 53.99814072462999, -3.0003920198989227 53.93609666179085, -3.052623843076306 53.71847894046447, -2.7590839129137006 53.56346419535518, -2.4137994168752215 53.62548715235881, -2.359345317825497 53.84254342327844, -2.652383998519509 53.99814072462999))"
84195b5ffffffff,3321.5,"POLYGON ((-3.649627885402723 51.06029064574157, -3.9811872278487312 50.98955367382511, -4.027370979875902 50.76372049726491, -3.744069751084974 50.60919970373352, -3.414937482585768 50.67991676539649, -3.366690974848194 50.90517214542122, -3.649627885402723 51.06029064574157))"
8419425ffffffff,11617.5,"POLYGON ((-2.0128729306382325 53.90277945716153, -2.359345317825497 53.84254342327844, -2.4137994168752215 53.62548715235881, -2.123965868733989 53.469240038353114, -1.7802245780346777 53.529478656216995, -1.7235999025298434 53.74595940098855, -2.0128729306382325 53.90277945716153))"
8419589ffffffff,8567.0,"POLYGON ((-2.111208324596382 52.21788122281217, -2.4474030878716255 52.154089253404706, -2.4999205862383618 51.93282571281686, -2.2183050268640825 51.77594783138261, -1.8846778964264161 51.83976108703744, -1.8301115887419024 52.06042870859474, -2.111208324596382 52.21788122281217))"
84194a9ffffffff,10951.5,"POLYGON ((0.52548548567213 51.4401151112708, 0.198235424470603 51.38292248124412, 0.1375276379247935 51.16358931854568, 0.4022389513239568 51.00210285649395, 0.7269453743110895 51.05941742296283, 0.7894710716359985 51.2780948734949, 0.52548548567213 51.4401151112708))"
8419097ffffffff,585.0,"POLYGON ((-5.26033926916365 56.01336969637799, -5.6251180314058296 55.94705753620121, -5.669296538968648 55.73190622890343, -5.351290507130914 55.58354329737474, -4.989353395843808 55.64971127255712, -4.942594963220131 55.864383089631914, -5.26033926916365 56.01336969637799))"
8418747ffffffff,10832.0,"POLYGON ((-5.018319907816871 50.542886972081206, -5.348529457028411 50.46695968145618, -5.3895450275705175 50.23836860062809, -5.1024670577672895 50.08625415590402, -4.774599824385655 50.16211892680609, -4.731478995508596 50.39015808770044, -5.018319907816871 50.542886972081206))"
84195bbffffffff,2547.0,"POLYGON ((-2.4278571007773357 50.8852111237168, -2.756809466953425 50.81791979447403, -2.807075709317495 50.593256918337815, -2.5303776781519667 50.43648994395748, -2.2038699460702893 50.503805662813576, -2.1516275450615745 50.727861827083494, -2.4278571007773357 50.8852111237168))"
84195d1ffffffff,12157.0,"POLYGON ((-0.884744991414505 52.02432670117968, -1.21787542551618 51.96394676922824, -1.274442986838768 51.74388859379757, -0.9998465593344867 51.58483083706424, -0.6692917033310195 51.64527714524333, -0.610770828755897 51.86471285963678, -0.884744991414505 52.02432670117968))"
8419547ffffffff,1934.0,"POLYGON ((-4.054167119908404 55.19786835787426, -4.411953650823026 55.13376622442356, -4.460076567781134 54.917652385038245, -4.152848874924514 54.76615417794351, -3.797864506263984 54.83016772712531, -3.7473199735155016 55.045765120388594, -4.054167119908404 55.19786835787426))"
